token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
149215,MPHASIS26MAY262560PE,MPHASIS,26MAY2026,256000.000000,275,OPTSTK,NFO,5.000000
149244,RELIANCE26MAY261180CE,RELIANCE,26MAY2026,118000.000000,500,OPTSTK,NFO,5.000000
68028,AMBER30JUN267900PE,AMBER,30JUN2026,790000.000000,100,OPTSTK,NFO,5.000000
68043,AMBER30JUN269500CE,AMBER,30JUN2026,950000.000000,100,OPTSTK,NFO,5.000000
68044,AMBER30JUN269500PE,AMBER,30JUN2026,950000.000000,100,OPTSTK,NFO,5.000000
68069,AMBER28JUL266600CE,AMBER,28JUL2026,660000.000000,100,OPTSTK,NFO,5.000000
134616,KALYANKJIL30JUN26360CE,KALYANKJIL,30JUN2026,36000.000000,1175,OPTSTK,NFO,5.000000
134618,KALYANKJIL30JUN26370CE,KALYANKJIL,30JUN2026,37000.000000,1175,OPTSTK,NFO,5.000000
134669,KALYANKJIL30JUN26440PE,KALYANKJIL,30JUN2026,44000.000000,1175,OPTSTK,NFO,5.000000
134706,NUVAMA26MAY261440CE,NUVAMA,26MAY2026,144000.000000,500,OPTSTK,NFO,5.000000
68106,BANKNIFTY26MAY2662000CE,BANKNIFTY,26MAY2026,6200000.000000,30,OPTIDX,NFO,5.000000
68114,BANKNIFTY26MAY2662400CE,BANKNIFTY,26MAY2026,6240000.000000,30,OPTIDX,NFO,5.000000
68139,BANKNIFTY26MAY2663400PE,BANKNIFTY,26MAY2026,6340000.000000,30,OPTIDX,NFO,5.000000
68141,BANKNIFTY26MAY2663500PE,BANKNIFTY,26MAY2026,6350000.000000,30,OPTIDX,NFO,5.000000
134791,POLYCAB30JUN267500CE,POLYCAB,30JUN2026,750000.000000,125,OPTSTK,NFO,5.000000
134792,POLYCAB30JUN267500PE,POLYCAB,30JUN2026,750000.000000,125,OPTSTK,NFO,5.000000
134796,POLYCAB30JUN267900PE,POLYCAB,30JUN2026,790000.000000,125,OPTSTK,NFO,5.000000
134800,POLYCAB30JUN268300CE,POLYCAB,30JUN2026,830000.000000,125,OPTSTK,NFO,5.000000
68157,BANKNIFTY26MAY2664100PE,BANKNIFTY,26MAY2026,6410000.000000,30,OPTIDX,NFO,5.000000
68169,BANKNIFTY26MAY2664500CE,BANKNIFTY,26MAY2026,6450000.000000,30,OPTIDX,NFO,5.000000
68170,BANKNIFTY26MAY2664500PE,BANKNIFTY,26MAY2026,6450000.000000,30,OPTIDX,NFO,5.000000
68205,BANKNIFTY26MAY2665400CE,BANKNIFTY,26MAY2026,6540000.000000,30,OPTIDX,NFO,5.000000
68207,BANKNIFTY26MAY2665500CE,BANKNIFTY,26MAY2026,6550000.000000,30,OPTIDX,NFO,5.000000
68210,BANKNIFTY26MAY2665500PE,BANKNIFTY,26MAY2026,6550000.000000,30,OPTIDX,NFO,5.000000
68213,BANKNIFTY26MAY2665700CE,BANKNIFTY,26MAY2026,6570000.000000,30,OPTIDX,NFO,5.000000
68221,BANKNIFTY26MAY2666000CE,BANKNIFTY,26MAY2026,6600000.000000,30,OPTIDX,NFO,5.000000
134819,POLYCAB30JUN268900PE,POLYCAB,30JUN2026,890000.000000,125,OPTSTK,NFO,5.000000
134843,KALYANKJIL30JUN26480CE,KALYANKJIL,30JUN2026,48000.000000,1175,OPTSTK,NFO,5.000000
134877,KAYNES26MAY263050CE,KAYNES,26MAY2026,305000.000000,100,OPTSTK,NFO,5.000000
134897,NYKAA26MAY26230CE,NYKAA,26MAY2026,23000.000000,3125,OPTSTK,NFO,5.000000
68229,BANKNIFTY26MAY2666200CE,BANKNIFTY,26MAY2026,6620000.000000,30,OPTIDX,NFO,5.000000
68272,AMBER28JUL268400CE,AMBER,28JUL2026,840000.000000,100,OPTSTK,NFO,5.000000
68274,AMBER28JUL268600CE,AMBER,28JUL2026,860000.000000,100,OPTSTK,NFO,5.000000
68277,AMBER28JUL268800PE,AMBER,28JUL2026,880000.000000,100,OPTSTK,NFO,5.000000
134901,NYKAA26MAY26240CE,NYKAA,26MAY2026,24000.000000,3125,OPTSTK,NFO,5.000000
134903,NYKAA26MAY26245CE,NYKAA,26MAY2026,24500.000000,3125,OPTSTK,NFO,5.000000
134918,NYKAA26MAY26250PE,NYKAA,26MAY2026,25000.000000,3125,OPTSTK,NFO,5.000000
134927,KAYNES26MAY263850CE,KAYNES,26MAY2026,385000.000000,100,OPTSTK,NFO,5.000000
68279,AMBER28JUL269000PE,AMBER,28JUL2026,900000.000000,100,OPTSTK,NFO,5.000000
68280,AMBER28JUL269200CE,AMBER,28JUL2026,920000.000000,100,OPTSTK,NFO,5.000000
68429,BANKNIFTY26MAY2668000CE,BANKNIFTY,26MAY2026,6800000.000000,30,OPTIDX,NFO,5.000000
68592,AMBUJACEM28JUL26450PE,AMBUJACEM,28JUL2026,45000.000000,1200,OPTSTK,NFO,5.000000
134937,KAYNES26MAY264350CE,KAYNES,26MAY2026,435000.000000,100,OPTSTK,NFO,5.000000
134940,KAYNES26MAY264450PE,KAYNES,26MAY2026,445000.000000,100,OPTSTK,NFO,5.000000
134959,KAYNES30JUN262800CE,KAYNES,30JUN2026,280000.000000,100,OPTSTK,NFO,5.000000
134960,KAYNES30JUN262800PE,KAYNES,30JUN2026,280000.000000,100,OPTSTK,NFO,5.000000
68658,AMBUJACEM28JUL26500PE,AMBUJACEM,28JUL2026,50000.000000,1200,OPTSTK,NFO,5.000000
68694,AMBUJACEM28JUL26520PE,AMBUJACEM,28JUL2026,52000.000000,1200,OPTSTK,NFO,5.000000
68824,ANGELONE28JUL26260CE,ANGELONE,28JUL2026,26000.000000,2500,OPTSTK,NFO,5.000000
68827,ANGELONE28JUL26270PE,ANGELONE,28JUL2026,27000.000000,2500,OPTSTK,NFO,5.000000
134961,KAYNES30JUN262900CE,KAYNES,30JUN2026,290000.000000,100,OPTSTK,NFO,5.000000
134964,KAYNES30JUN263000PE,KAYNES,30JUN2026,300000.000000,100,OPTSTK,NFO,5.000000
134970,KAYNES30JUN263300PE,KAYNES,30JUN2026,330000.000000,100,OPTSTK,NFO,5.000000
134977,KAYNES30JUN263600CE,KAYNES,30JUN2026,360000.000000,100,OPTSTK,NFO,5.000000
68845,ANGELONE28JUL26340PE,ANGELONE,28JUL2026,34000.000000,2500,OPTSTK,NFO,5.000000
68963,APLAPOLLO30JUN262100PE,APLAPOLLO,30JUN2026,210000.000000,350,OPTSTK,NFO,5.000000
69027,APLAPOLLO28JUL261760PE,APLAPOLLO,28JUL2026,176000.000000,350,OPTSTK,NFO,5.000000
69032,APLAPOLLO28JUL261880CE,APLAPOLLO,28JUL2026,188000.000000,350,OPTSTK,NFO,5.000000
134978,KAYNES30JUN263600PE,KAYNES,30JUN2026,360000.000000,100,OPTSTK,NFO,5.000000
134983,KAYNES30JUN263800CE,KAYNES,30JUN2026,380000.000000,100,OPTSTK,NFO,5.000000
134998,KAYNES30JUN264500PE,KAYNES,30JUN2026,450000.000000,100,OPTSTK,NFO,5.000000
135000,KAYNES30JUN264600PE,KAYNES,30JUN2026,460000.000000,100,OPTSTK,NFO,5.000000
69126,APOLLOHOSP30JUN267050CE,APOLLOHOSP,30JUN2026,705000.000000,125,OPTSTK,NFO,5.000000
69150,APOLLOHOSP30JUN268250CE,APOLLOHOSP,30JUN2026,825000.000000,125,OPTSTK,NFO,5.000000
69265,APOLLOHOSP28JUL268100PE,APOLLOHOSP,28JUL2026,810000.000000,125,OPTSTK,NFO,5.000000
69267,APOLLOHOSP28JUL268200PE,APOLLOHOSP,28JUL2026,820000.000000,125,OPTSTK,NFO,5.000000
135002,KAYNES30JUN264800PE,KAYNES,30JUN2026,480000.000000,100,OPTSTK,NFO,5.000000
135003,KAYNES30JUN265000CE,KAYNES,30JUN2026,500000.000000,100,OPTSTK,NFO,5.000000
135022,NYKAA26MAY26285CE,NYKAA,26MAY2026,28500.000000,3125,OPTSTK,NFO,5.000000
135053,NYKAA26MAY26300CE,NYKAA,26MAY2026,30000.000000,3125,OPTSTK,NFO,5.000000
69271,APOLLOHOSP28JUL268400PE,APOLLOHOSP,28JUL2026,840000.000000,125,OPTSTK,NFO,5.000000
69290,APOLLOHOSP28JUL269400CE,APOLLOHOSP,28JUL2026,940000.000000,125,OPTSTK,NFO,5.000000
69331,ASHOKLEY30JUN26147.5PE,ASHOKLEY,30JUN2026,14750.000000,5000,OPTSTK,NFO,1.000000
69332,ASHOKLEY30JUN26152.5CE,ASHOKLEY,30JUN2026,15250.000000,5000,OPTSTK,NFO,1.000000
135054,NYKAA26MAY26300PE,NYKAA,26MAY2026,30000.000000,3125,OPTSTK,NFO,5.000000
